dex_index,species_key,name,type1,type2,ability1,ability2,hp,attack,defense,sp_attack,sp_defense,speed,bst,catch_rate,gender_ratio,egg_group1,egg_group2,in_regional_dex,regional_dex_number,generation,keep,first_region_encountered,notes,count
37,SPECIES_VULPIX,Vulpix,Fire,,Flash Fire,,38,41,40,50,65,65,299,190,190,Field,Field,TRUE,127,1,Yes,Kanto,,1
38,SPECIES_NINETALES,Ninetales,Fire,,Flash Fire,,73,76,75,81,100,100,505,75,190,Field,Field,TRUE,128,1,Yes,Kanto,,1
39,SPECIES_JIGGLYPUFF,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,115,45,20,45,25,20,270,170,190,Fairy,Fairy,TRUE,44,1,Yes,Kanto,,1
40,SPECIES_WIGGLYTUFF,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,140,70,45,85,50,45,435,50,190,Fairy,Fairy,TRUE,45,1,Yes,Kanto,,1
41,SPECIES_ZUBAT,Zubat,Poison,Flying,Inner Focus,,40,45,35,30,40,55,245,255,127,Flying,Flying,TRUE,37,1,No,,,1
42,SPECIES_GOLBAT,Golbat,Poison,Flying,Inner Focus,,75,80,70,65,75,90,455,90,127,Flying,Flying,TRUE,38,1,No,,,1
43,SPECIES_ODDISH,Oddish,Grass,Poison,Chlorophyll,,45,50,55,75,65,30,320,255,127,Grass,Grass,TRUE,83,1,Yes,Johto,,1
44,SPECIES_GLOOM,Gloom,Grass,Poison,Chlorophyll,,60,65,70,85,75,40,395,120,127,Grass,Grass,TRUE,84,1,Yes,Johto,,1
45,SPECIES_VILEPLUME,Vileplume,Grass,Poison,Chlorophyll,,75,80,85,110,90,50,490,45,127,Grass,Grass,TRUE,85,1,Yes,Johto,,1
46,SPECIES_PARAS,Paras,Bug,Grass,Effect Spore,Dry Skin,35,70,55,45,55,25,285,190,127,Bug,Grass,TRUE,70,1,Yes,Kanto,,1
47,SPECIES_PARASECT,Parasect,Bug,Grass,Effect Spore,Dry Skin,60,95,80,60,80,30,405,75,127,Bug,Grass,TRUE,71,1,Yes,,,1
48,SPECIES_VENONAT,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,60,55,50,40,55,45,305,190,127,Bug,Bug,TRUE,109,1,No,,,1
49,SPECIES_VENOMOTH,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,70,65,60,90,75,90,450,75,127,Bug,Bug,TRUE,110,1,No,,,1
50,SPECIES_DIGLETT,Diglett,Ground,,Sand Veil,Arena Trap,10,55,25,35,45,95,265,255,127,Field,Field,TRUE,134,1,No,,,1
51,SPECIES_DUGTRIO,Dugtrio,Ground,,Sand Veil,Arena Trap,35,100,50,50,70,120,425,50,127,Field,Field,TRUE,135,1,No,,,1
52,SPECIES_MEOWTH,Meowth,Normal,,Pickup,Technician,40,45,35,40,40,90,290,255,127,Field,Field,TRUE,138,1,No,,,1
53,SPECIES_PERSIAN,Persian,Normal,,Limber,Technician,65,70,60,65,65,115,440,90,127,Field,Field,TRUE,139,1,No,,,1
54,SPECIES_PSYDUCK,Psyduck,Water,,Damp,Cloud Nine,50,52,48,65,50,55,320,190,127,Water 1,Field,TRUE,140,1,No,,,1
55,SPECIES_GOLDUCK,Golduck,Water,,Damp,Cloud Nine,80,82,78,95,80,85,500,75,127,Water 1,Field,TRUE,141,1,No,,,1
56,SPECIES_MANKEY,Mankey,Fighting,,Vital Spirit,Anger Point,40,80,35,35,45,70,305,190,127,Field,Field,TRUE,136,1,Yes,Kanto,,1
57,SPECIES_PRIMEAPE,Primeape,Fighting,,Vital Spirit,Anger Point,65,105,60,60,70,95,455,75,127,Field,Field,TRUE,137,1,Yes,Kanto,,1
58,SPECIES_GROWLITHE,Growlithe,Fire,,Intimidate,Flash Fire,55,70,45,70,50,60,350,190,63,Field,Field,TRUE,129,1,Yes,Kanto,,1
59,SPECIES_ARCANINE,Arcanine,Fire,,Intimidate,Flash Fire,90,110,80,100,80,95,555,75,63,Field,Field,TRUE,130,1,Yes,Kanto,,1
60,SPECIES_POLIWAG,Poliwag,Water,,Water Absorb,Damp,40,50,40,40,40,90,300,255,127,Water 1,Water 1,TRUE,72,1,Yes,,,1
61,SPECIES_POLIWHIRL,Poliwhirl,Water,,Water Absorb,Damp,65,65,65,50,50,90,385,120,127,Water 1,Water 1,TRUE,73,1,Yes,,,1
62,SPECIES_POLIWRATH,Poliwrath,Water,Fighting,Water Absorb,Damp,90,95,95,70,90,70,510,45,127,Water 1,Water 1,TRUE,74,1,Yes,,,1
63,SPECIES_ABRA,Abra,Psychic,,Synchronize,Inner Focus,25,20,15,105,55,90,310,200,63,Human Like,Human Like,TRUE,89,1,Yes,Kanto,,1
64,SPECIES_KADABRA,Kadabra,Psychic,,Synchronize,Inner Focus,40,35,30,120,70,105,400,100,63,Human Like,Human Like,TRUE,90,1,Yes,Kanto,,1
65,SPECIES_ALAKAZAM,Alakazam,Psychic,,Synchronize,Inner Focus,55,50,45,135,95,120,500,50,63,Human Like,Human Like,TRUE,91,1,Yes,Kanto,,1
66,SPECIES_MACHOP,Machop,Fighting,,Guts,No Guard,70,80,50,35,35,35,305,180,63,Human Like,Human Like,TRUE,142,1,Yes,Kanto,,1
67,SPECIES_MACHOKE,Machoke,Fighting,,Guts,No Guard,80,100,70,50,60,45,405,90,63,Human Like,Human Like,TRUE,143,1,Yes,Kanto,,1
68,SPECIES_MACHAMP,Machamp,Fighting,,Guts,No Guard,90,130,80,65,85,55,505,45,63,Human Like,Human Like,TRUE,144,1,Yes,Kanto,,1
69,SPECIES_BELLSPROUT,Bellsprout,Grass,Poison,Chlorophyll,,50,75,35,70,30,40,300,255,127,Grass,Grass,TRUE,64,1,Yes,Kanto,,1
70,SPECIES_WEEPINBELL,Weepinbell,Grass,Poison,Chlorophyll,,65,90,50,85,45,55,390,120,127,Grass,Grass,TRUE,65,1,Yes,Kanto,,1
71,SPECIES_VICTREEBEL,Victreebel,Grass,Poison,Chlorophyll,,80,105,65,100,70,70,490,45,127,Grass,Grass,TRUE,66,1,Yes,Kanto,,1
72,SPECIES_TENTACOOL,Tentacool,Water,Poison,Clear Body,Liquid Ooze,40,40,35,50,100,70,335,190,127,Water 3,Water 3,TRUE,164,1,No,,,1
73,SPECIES_TENTACRUEL,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,80,70,65,80,120,100,515,60,127,Water 3,Water 3,TRUE,165,1,No,,,1
74,SPECIES_GEODUDE,Geodude,Rock,Ground,Rock Head,Sturdy,40,80,100,30,30,20,300,255,127,Mineral,Mineral,TRUE,34,1,Yes,Johto,Good foil for first gym,1
75,SPECIES_GRAVELER,Graveler,Rock,Ground,Rock Head,Sturdy,55,95,115,45,45,35,390,120,127,Mineral,Mineral,TRUE,35,1,Yes,Johto,,1
76,SPECIES_GOLEM,Golem,Rock,Ground,Rock Head,Sturdy,80,120,130,55,65,45,495,45,127,Mineral,Mineral,TRUE,36,1,Yes,Johto,,1
77,SPECIES_PONYTA,Ponyta,Fire,,Run Away,Flash Fire,50,85,55,65,65,90,410,190,127,Field,Field,TRUE,206,1,Yes,Johto,,1
78,SPECIES_RAPIDASH,Rapidash,Fire,,Run Away,Flash Fire,65,100,70,80,80,105,500,60,127,Field,Field,TRUE,207,1,Yes,Johto,,1
79,SPECIES_SLOWPOKE,Slowpoke,Water,Psychic,Oblivious,Own Tempo,90,65,65,40,40,15,315,190,127,Monster,Water 1,TRUE,80,1,No,,,1
80,SPECIES_SLOWBRO,Slowbro,Water,Psychic,Oblivious,Own Tempo,95,75,110,100,80,30,490,75,127,Monster,Water 1,TRUE,81,1,Yes,,,1
81,SPECIES_MAGNEMITE,Magnemite,Electric,Steel,Magnet Pull,Sturdy,25,35,70,95,55,45,325,190,255,Mineral,Mineral,TRUE,119,1,Yes,Kanto,,1
82,SPECIES_MAGNETON,Magneton,Electric,Steel,Magnet Pull,Sturdy,50,60,95,120,70,70,465,60,255,Mineral,Mineral,TRUE,120,1,Yes,Kanto,,1
83,SPECIES_FARFETCHD,Farfetch’d,Normal,Flying,Keen Eye,Inner Focus,52,90,55,58,62,60,377,45,127,Flying,Field,TRUE,160,1,Yes,Kanto,,1
84,SPECIES_DODUO,Doduo,Normal,Flying,Run Away,Early Bird,35,85,45,35,35,75,310,190,127,Flying,Flying,TRUE,204,1,No,Kanto,,1
85,SPECIES_DODRIO,Dodrio,Normal,Flying,Run Away,Early Bird,60,110,70,60,60,110,470,45,127,Flying,Flying,TRUE,205,1,No,Kanto,,1
86,SPECIES_SEEL,Seel,Water,,Thick Fat,Hydration,65,45,55,45,70,45,325,190,127,Water 1,Field,TRUE,178,1,Yes,Kanto,,1
87,SPECIES_DEWGONG,Dewgong,Water,Ice,Thick Fat,Hydration,90,70,80,70,95,70,475,75,127,Water 1,Field,TRUE,179,1,Yes,Kanto,,1
88,SPECIES_GRIMER,Grimer,Poison,,Stench,Sticky Hold,80,80,50,40,50,25,325,190,127,Amorphous,Amorphous,TRUE,117,1,Yes,Kanto,,1
89,SPECIES_MUK,Muk,Poison,,Stench,Sticky Hold,105,105,75,65,100,50,500,75,127,Amorphous,Amorphous,TRUE,118,1,Yes,Kanto,,1
90,SPECIES_SHELLDER,Shellder,Water,,Shell Armor,Skill Link,30,65,100,45,25,40,305,190,127,Water 3,Water 3,TRUE,171,1,Yes,Kanto,,1
91,SPECIES_CLOYSTER,Cloyster,Water,Ice,Shell Armor,Skill Link,50,95,180,85,45,70,525,60,127,Water 3,Water 3,TRUE,172,1,Yes,Kanto,,1
92,SPECIES_GASTLY,Gastly,Ghost,Poison,Levitate,,30,35,30,100,35,80,310,190,127,Amorphous,Amorphous,TRUE,58,1,Yes,Kanto,,1
93,SPECIES_HAUNTER,Haunter,Ghost,Poison,Levitate,,45,50,45,115,55,95,405,90,127,Amorphous,Amorphous,TRUE,59,1,Yes,Kanto,,1
94,SPECIES_GENGAR,Gengar,Ghost,Poison,Cursed Body,,60,65,60,130,75,110,500,45,127,Amorphous,Amorphous,TRUE,60,1,Yes,Kanto,,1
95,SPECIES_ONIX,Onix,Rock,Ground,Rock Head,Sturdy,35,45,160,30,45,70,385,45,127,Mineral,Mineral,TRUE,62,1,Yes,Kanto,,1
96,SPECIES_DROWZEE,Drowzee,Psychic,,Insomnia,Forewarn,60,48,45,43,90,42,328,190,127,Human Like,Human Like,TRUE,87,1,No,,,1
97,SPECIES_HYPNO,Hypno,Psychic,,Insomnia,Forewarn,85,73,70,73,115,67,483,75,127,Human Like,Human Like,TRUE,88,1,No,,,1
98,SPECIES_KRABBY,Krabby,Water,,Hyper Cutter,Shell Armor,30,105,90,25,25,50,325,225,127,Water 3,Water 3,TRUE,166,1,No,,,1
99,SPECIES_KINGLER,Kingler,Water,,Hyper Cutter,Shell Armor,55,130,115,50,50,75,475,60,127,Water 3,Water 3,TRUE,167,1,No,,,1
100,SPECIES_VOLTORB,Voltorb,Electric,,Soundproof,Static,40,30,50,55,55,100,330,190,255,Mineral,Mineral,TRUE,121,1,No,,,1
101,SPECIES_ELECTRODE,Electrode,Electric,,Soundproof,Static,60,50,70,80,80,150,490,60,255,Mineral,Mineral,TRUE,122,1,No,,,1
102,SPECIES_EXEGGCUTE,Exeggcute,Grass,Psychic,Chlorophyll,,60,40,80,60,45,40,325,90,127,Grass,Grass,TRUE,105,1,Yes,,,1
103,SPECIES_EXEGGUTOR,Exeggutor,Grass,Psychic,Chlorophyll,,95,95,85,125,75,55,530,45,127,Grass,Grass,TRUE,106,1,Yes,,,1
104,SPECIES_CUBONE,Cubone,Ground,,Rock Head,Lightning Rod,50,50,95,40,50,35,320,190,127,Monster,Monster,TRUE,208,1,Yes,Johto,Regional form would be more common,1
105,SPECIES_MAROWAK,Marowak,Ground,,Rock Head,Lightning Rod,60,80,110,50,80,45,425,75,127,Monster,Monster,TRUE,209,1,Yes,Johto,,1
106,SPECIES_HITMONLEE,Hitmonlee,Fighting,,Limber,Reckless,50,120,53,35,110,87,455,45,0,Human Like,Human Like,TRUE,146,1,Yes,Kanto,,1
107,SPECIES_HITMONCHAN,Hitmonchan,Fighting,,Keen Eye,Iron Fist,50,105,79,35,110,76,455,45,0,Human Like,Human Like,TRUE,147,1,Yes,Kanto,,1
108,SPECIES_LICKITUNG,Lickitung,Normal,,Own Tempo,Oblivious,90,55,75,60,75,30,385,45,127,Monster,Monster,TRUE,180,1,Yes,Johto,,1
109,SPECIES_KOFFING,Koffing,Poison,,Levitate,Neutralizing Gas,40,65,95,60,45,35,340,190,127,Amorphous,Amorphous,TRUE,115,1,No,Kanto,,1
110,SPECIES_WEEZING,Weezing,Poison,,Levitate,Neutralizing Gas,65,90,120,85,70,60,490,60,127,Amorphous,Amorphous,TRUE,116,1,No,Kanto,,1
111,SPECIES_RHYHORN,Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,80,85,95,30,30,25,345,120,127,Monster,Field,TRUE,211,1,Yes,Kanto,,1
112,SPECIES_RHYDON,Rhydon,Ground,Rock,Lightning Rod,Rock Head,105,130,120,45,45,40,485,60,127,Monster,Field,TRUE,212,1,Yes,Kanto,,1
113,SPECIES_CHANSEY,Chansey,Normal,,Natural Cure,Serene Grace,250,5,5,35,105,50,450,30,254,Fairy,Fairy,TRUE,222,1,Yes,Johto,,1
114,SPECIES_TANGELA,Tangela,Grass,,Chlorophyll,Leaf Guard,65,55,115,100,40,60,435,45,127,Grass,Grass,TRUE,182,1,Yes,Johto,,1
115,SPECIES_KANGASKHAN,Kangaskhan,Normal,,Early Bird,Scrappy,105,95,80,40,80,90,490,45,254,Monster,Monster,TRUE,210,1,No,Kanto,,1
116,SPECIES_HORSEA,Horsea,Water,,Swift Swim,Sniper,30,40,70,70,25,60,295,225,127,Water 1,Dragon,TRUE,190,1,No,Kanto,,1
117,SPECIES_SEADRA,Seadra,Water,,Poison Point,Sniper,55,65,95,95,45,85,440,75,127,Water 1,Dragon,TRUE,191,1,No,Kanto,,1
118,SPECIES_GOLDEEN,Goldeen,Water,,Swift Swim,Water Veil,45,67,60,35,50,63,320,225,127,Water 2,Water 2,TRUE,78,1,No,Kanto,,1
119,SPECIES_SEAKING,Seaking,Water,,Swift Swim,Water Veil,80,92,65,65,80,68,450,60,127,Water 2,Water 2,TRUE,79,1,No,Kanto,,1
120,SPECIES_STARYU,Staryu,Water,,Illuminate,Natural Cure,30,45,55,70,55,85,340,225,255,Water 3,Water 3,TRUE,169,1,Yes,Kanto,,1
121,SPECIES_STARMIE,Starmie,Water,Psychic,Illuminate,Natural Cure,60,75,85,100,85,115,520,60,255,Water 3,Water 3,TRUE,170,1,Yes,Kanto,,1
122,SPECIES_MR_MIME,Mr. Mime,Psychic,Fairy,Soundproof,Filter,40,45,65,100,120,90,460,45,127,Human Like,Human Like,TRUE,158,1,Yes,Johto,,1
123,SPECIES_SCYTHER,Scyther,Bug,Flying,Swarm,Technician,70,110,80,55,80,105,500,45,127,Bug,Bug,TRUE,111,1,Yes,Johto,,1
124,SPECIES_JYNX,Jynx,Ice,Psychic,Oblivious,Forewarn,65,50,35,115,95,95,455,45,254,Human Like,Human Like,TRUE,155,1,Yes,Kanto,,1
125,SPECIES_ELECTABUZZ,Electabuzz,Electric,,Static,,65,83,57,95,85,105,490,45,63,Human Like,Human Like,TRUE,157,1,Yes,Kanto,,1
126,SPECIES_MAGMAR,Magmar,Fire,,Flame Body,,65,95,57,100,85,93,495,45,63,Human Like,Human Like,TRUE,153,1,Yes,Kanto,,1
127,SPECIES_PINSIR,Pinsir,Bug,,Hyper Cutter,Mold Breaker,65,125,100,55,70,85,500,45,127,Bug,Bug,TRUE,113,1,No,Kanto,,1
128,SPECIES_TAUROS,Tauros,Normal,,Intimidate,Anger Point,75,100,95,40,70,110,490,45,0,Field,Field,TRUE,150,1,No,Kanto,,1
129,SPECIES_MAGIKARP,Magikarp,Water,,Swift Swim,,20,10,55,15,20,80,200,255,127,Water 2,Dragon,TRUE,76,1,Yes,Johto,Maybe replace with another fish?,1
130,SPECIES_GYARADOS,Gyarados,Water,Flying,Intimidate,,95,125,79,60,100,81,540,45,127,Water 2,Dragon,TRUE,77,1,Yes,Johto,,1
131,SPECIES_LAPRAS,Lapras,Water,Ice,Water Absorb,Shell Armor,130,85,80,85,95,60,535,45,127,Monster,Water 1,TRUE,224,1,Yes,Kanto,,1
132,SPECIES_DITTO,Ditto,Normal,,Limber,,48,48,48,48,48,48,288,35,255,Ditto,Ditto,TRUE,92,1,Yes,Kanto,,1
133,SPECIES_EEVEE,Eevee,Normal,,Run Away,Adaptability,55,55,50,45,65,55,325,45,31,Field,Field,TRUE,184,1,Yes,Johto,,1
134,SPECIES_VAPOREON,Vaporeon,Water,,Water Absorb,,130,65,60,110,95,65,525,45,31,Field,Field,TRUE,185,1,Yes,Johto,,1
135,SPECIES_JOLTEON,Jolteon,Electric,,Volt Absorb,,65,65,60,110,95,130,525,45,31,Field,Field,TRUE,186,1,Yes,Johto,,1
136,SPECIES_FLAREON,Flareon,Fire,,Flash Fire,,65,130,60,95,110,65,525,45,31,Field,Field,TRUE,187,1,Yes,Johto,,1
137,SPECIES_PORYGON,Porygon,Normal,,Trace,Download,65,60,70,85,75,40,395,45,255,Mineral,Mineral,TRUE,220,1,Yes,Kanto,,1
138,SPECIES_OMANYTE,Omanyte,Rock,Water,Swift Swim,Shell Armor,35,40,100,90,55,35,355,45,31,Water 1,Water 3,TRUE,225,1,No,Kanto,,1
139,SPECIES_OMASTAR,Omastar,Rock,Water,Swift Swim,Shell Armor,70,60,125,115,70,55,495,45,31,Water 1,Water 3,TRUE,226,1,No,Kanto,,1
140,SPECIES_KABUTO,Kabuto,Rock,Water,Swift Swim,Battle Armor,30,80,90,55,45,55,355,45,31,Water 1,Water 3,TRUE,227,1,No,Kanto,,1
141,SPECIES_KABUTOPS,Kabutops,Rock,Water,Swift Swim,Battle Armor,60,115,105,65,70,80,495,45,31,Water 1,Water 3,TRUE,228,1,No,Kanto,,1
142,SPECIES_AERODACTYL,Aerodactyl,Rock,Flying,Rock Head,Pressure,80,105,65,60,75,130,515,45,31,Flying,Flying,TRUE,229,1,No,Kanto,,1
143,SPECIES_SNORLAX,Snorlax,Normal,,Immunity,Thick Fat,160,110,65,65,110,30,540,25,31,Monster,Monster,TRUE,230,1,Yes,Kanto,,1
144,SPECIES_ARTICUNO,Articuno,Ice,Flying,Pressure,,90,85,100,95,125,85,580,3,255,Undiscovered,Undiscovered,TRUE,240,1,Yes,Kanto,,1
145,SPECIES_ZAPDOS,Zapdos,Electric,Flying,Pressure,,90,90,85,125,90,100,580,3,255,Undiscovered,Undiscovered,TRUE,241,1,Yes,Kanto,,1
146,SPECIES_MOLTRES,Moltres,Fire,Flying,Pressure,,90,100,90,125,85,90,580,3,255,Undiscovered,Undiscovered,TRUE,242,1,Yes,Kanto,,1
147,SPECIES_DRATINI,Dratini,Dragon,,Shed Skin,,41,64,45,50,50,50,300,45,127,Water 1,Dragon,TRUE,246,1,Yes,Kanto,Make sure we have another dragon for Johto,1
148,SPECIES_DRAGONAIR,Dragonair,Dragon,,Shed Skin,,61,84,65,70,70,70,420,45,127,Water 1,Dragon,TRUE,247,1,Yes,Kanto,,1
149,SPECIES_DRAGONITE,Dragonite,Dragon,Flying,Inner Focus,,91,134,95,100,100,80,600,45,127,Water 1,Dragon,TRUE,248,1,Yes,Kanto,,1
150,SPECIES_MEWTWO,Mewtwo,Psychic,,Pressure,,106,110,90,154,90,130,680,3,255,Undiscovered,Undiscovered,TRUE,254,1,Yes,Kanto,,1
151,SPECIES_MEW,Mew,Psychic,,Synchronize,,100,100,100,100,100,100,600,45,255,Undiscovered,Undiscovered,TRUE,255,1,Yes,Kanto,,1
152,SPECIES_CHIKORITA,Chikorita,Grass,,Overgrow,,45,49,65,49,65,45,318,45,31,Monster,Grass,TRUE,1,2,Yes,Johto,,1
153,SPECIES_BAYLEEF,Bayleef,Grass,,Overgrow,,60,62,80,63,80,60,405,45,31,Monster,Grass,TRUE,2,2,Yes,Johto,,1
154,SPECIES_MEGANIUM,Meganium,Grass,,Overgrow,,80,82,100,83,100,80,525,45,31,Monster,Grass,TRUE,3,2,Yes,Johto,,1
155,SPECIES_CYNDAQUIL,Cyndaquil,Fire,,Blaze,,39,52,43,60,50,65,309,45,31,Field,Field,TRUE,4,2,Yes,Johto,,1
156,SPECIES_QUILAVA,Quilava,Fire,,Blaze,,58,64,58,80,65,80,405,45,31,Field,Field,TRUE,5,2,Yes,Johto,,1
157,SPECIES_TYPHLOSION,Typhlosion,Fire,,Blaze,,78,84,78,109,85,100,534,45,31,Field,Field,TRUE,6,2,Yes,Johto,,1
158,SPECIES_TOTODILE,Totodile,Water,,Torrent,,50,65,64,44,48,43,314,45,31,Monster,Water 1,TRUE,7,2,Yes,Johto,,1
159,SPECIES_CROCONAW,Croconaw,Water,,Torrent,,65,80,80,59,63,58,405,45,31,Monster,Water 1,TRUE,8,2,Yes,Johto,,1
160,SPECIES_FERALIGATR,Feraligatr,Water,,Torrent,,85,105,100,79,83,78,530,45,31,Monster,Water 1,TRUE,9,2,Yes,Johto,,1
161,SPECIES_SENTRET,Sentret,Normal,,Run Away,Keen Eye,35,46,34,35,45,20,215,255,127,Field,Field,TRUE,19,2,Yes,Johto,,1
162,SPECIES_FURRET,Furret,Normal,,Run Away,Keen Eye,85,76,64,45,55,90,415,90,127,Field,Field,TRUE,20,2,Yes,Johto,,1
163,SPECIES_HOOTHOOT,Hoothoot,Normal,Flying,Insomnia,Keen Eye,60,30,30,36,56,50,262,255,127,Flying,Flying,TRUE,15,2,Yes,Johto,,1
